player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Daniel Gafford,gaffoda01,2023,RS,WAS,675,320,-.7789562572625204,2.290371893342078,1.511415636079558,-6.76312759188279,3.820275694976951,-2.942851896905839,-2.0715283647722,2.763721688870709,.692193324098509,.5610917140625118,.5610917140625118,0,-1.865917332537518,1.191936382156941,-.6739809503805767,-.1611981175613858
Darius Garland,garlada01,2023,RS,CLE,1316,646,3.929547335067058,.4127952849629722,4.34234262003003,-1.237476101598676,-2.226397537858802,-3.463873639457478,3.090977067011546,-.1725404825591506,2.918436584452396,1.854659990735644,1.854659990735644,0,3.309993921514325,.4058202280080754,3.7158141495224,-.7369635223001491
Usman Garuba,garubus01,2023,RS,HOU,726,332,-.3042469562094618,3.227906942273675,2.923659986064214,-4.138514547214632,4.848229525014347,.7097149777997158,-1.178690559981767,3.883920884364634,2.705230324382867,.9271821566137489,.9271821566137489,0,-.7778478028997906,2.901350543703378,2.123502740803588,.3441685736623625
Luka Garza,garzalu01,2023,RS,MIN,2,1,-1.565750320615236,5.273300158336182,3.707549837720946,-60.22626184350514,3.551898209979018,-56.67436363352612,-14.01952565860508,5.182188120580818,-8.837337538024265,-.0029570378711804,-.0029570378711804,0,-11.18166438469207,-1.263170391808497,-12.44483477650056,-4.849467637546987
Rudy Gay,gayru01,2023,RS,UTA,420,189,-3.988392754363466,1.206467121115069,-2.781925633248397,-1.486302039028902,11.77224051012898,10.28593847110008,-3.759191093323347,3.515789115451633,-.2434019778717142,.2425020411807284,.2425020411807284,0,-2.157007774916528,.747947611088749,-1.409060163827779,.3336428340941631
Paul George,georgpa01,2023,RS,LAC,1126,549,1.317632217966305,3.758485112936793,5.076117330903098,3.955496430405735,5.22546335834091,9.180959788746645,2.025287357077325,4.264560917190815,6.28984827426814,2.554865273606817,2.554865273606817,0,.7413157977477728,4.43208736509879,5.173403162846562,.9121255568239134
Taj Gibson,gibsota01,2023,RS,WAS,160,77,-1.84375074581768,-2.513929174715543,-4.357679920533223,-2.908368266983042,6.987689545505322,4.07932127852228,-2.143361254432163,-.6309217785376123,-2.774283032969775,-.0009485643554509,-.0009485643554509,0,-.715517802797314,-.3661175241998674,-1.081635326997181,-.5737113278182753
Josh Giddey,giddejo01,2023,RS,OKC,1339,612,-2.199923322124803,-1.852278577992927,-4.052201900117731,-4.867281390785503,-7.538137683684459,-12.40541907446996,-2.875551344409506,-3.14654002909196,-6.022091373501466,-1.036125803193376,-1.036125803193376,0,-3.162504175225383,-3.074559411471511,-6.237063586696895,1.431335818000071
Shai Gilgeous-Alexander,gilgesh01,2023,RS,OKC,1620,751,4.835703696936321,-1.166854600211328,3.668849096724992,4.437968456578933,-.6243934235145987,3.813575033064334,5.053876982961465,-1.121369978813485,3.932507004147979,2.581365456256615,2.581365456256615,0,4.68642362739086,-.2059765434615224,4.480447083929337,.8264270405377201
Anthony Gill,gillan01,2023,RS,WAS,502,240,-.2983440866986264,-2.90132713258337,-3.199671219281996,1.550847943436089,-6.201510853960717,-4.650662910524629,.0867904319165116,-3.741848774275841,-3.655058342359329,-.1103420627935637,-.1103420627935637,0,-.0077880380011049,-3.738540774561105,-3.74632881256221,-.4391082985082345
Rudy Gobert,goberru01,2023,RS,MIN,1368,640,-1.037538527682369,3.043303750413658,2.005765222731289,-7.031304850667846,5.663782472634011,-1.367522378033835,-2.344760019624931,3.796274035336208,1.451514015711278,1.361039894254714,1.361039894254714,0,-3.098847434858479,3.162985058204445,.0641376233459661,-.8025527901435863
Jordan Goodwin,goodwjo01,2023,RS,WAS,737,351,.8211659731797849,3.696328717982618,4.517494691162403,-4.238692765502037,1.227981761727939,-3.010711003774099,-.1741299540735423,3.429170260872847,3.255040306799305,1.072470214418304,1.072470214418304,0,.0477160749395027,3.143046194415821,3.190762269355324,-.2743813443200681
Aaron Gordon,gordoaa01,2023,RS,DEN,1230,584,1.8041995551337,-.8317935934020191,.9724059617316814,9.482132657154692,-1.929820993507954,7.552311663646737,3.47676605683142,-1.080216134990818,2.396549921840601,1.531721032531749,1.531721032531749,0,2.520467880214458,-1.774219435194307,.7462484450201508,-.1141538748241781
Eric Gordon,gordoer01,2023,RS,HOU,1187,561,-1.512655432686506,-4.118906873380865,-5.631562306067371,.0906293126710764,2.202599545774808,2.293228858445885,-1.268123898504474,-3.091834396681213,-4.359958295185686,-.4612726664232629,-.4612726664232629,0,-1.314652855215281,-3.938587080459517,-5.253239935674798,.1026023590096338
Devonte' Graham,grahade01,2023,RS,NOP,785,370,.9204458448412278,-.8458047471836256,.0746410976576022,-2.499889834706365,-1.084704326091795,-3.58459416079816,.2207906707998225,-.9947329634317214,-.7739422926318988,.3701440579885563,.3701440579885563,0,.4918091694390279,-2.086967240582749,-1.595158071143721,-.7830328786987915
Jerami Grant,grantje01,2023,RS,POR,1703,835,2.086325387834783,-.767614676872119,1.318710710962664,5.662390421857117,-2.107298097902973,3.555092323954144,2.951706102994993,-1.089584542710305,1.862121560284687,1.969139643773056,1.969139643773056,0,3.238704131734687,-.8621112273745857,2.376592904360102,.2214985596746409
AJ Green,greenaj01,2023,RS,MIL,77,37,2.566562400214675,-6.313912598433737,-3.747350198219062,-5.67401014863281,-5.432386767087494,-11.1063969157203,1.007598876130624,-6.597457773141262,-5.589858897010639,-.053804724948479,-.053804724948479,0,3.08386597433018,-6.236224266582275,-3.152358292252095,.3694507274268564
Draymond Green,greendr01,2023,RS,GSW,1475,680,-.6624927358634495,2.320193696269849,1.657700960406399,9.102081481675604,1.837710374866981,10.93979185654258,1.394836983261019,2.352531000822498,3.747367984083517,2.271547104670357,2.271547104670357,0,1.257340923235432,1.900617137407815,3.157958060643246,.7806503563941615
JaMychal Green,greenja01,2023,RS,GSW,720,323,-3.578928784277557,-3.415604501189892,-6.994533285467449,-4.083585057861114,-3.342829769606416,-7.42641482746753,-3.88297881421882,-3.6116882967777,-7.49466711099652,-.787746837322349,-.787746837322349,0,-3.123366395872275,-3.760072796625507,-6.883439192497782,.7578660763069446
Javonte Green,greenja02,2023,RS,CHI,769,361,.4436222950189399,3.947574444527407,4.391196739546347,3.937418706949062,3.88954741442446,7.826966121373522,1.196132103946806,4.155640948749189,5.351773052695994,1.495061540914205,1.495061540914205,0,1.158338445715223,4.494095231579533,5.652433677294757,.1940428260114348
Jalen Green,greenja05,2023,RS,HOU,1658,787,-.0542949734123976,-2.943724548864707,-2.998019522277105,-1.861532045343471,-6.133655142380451,-7.995187187723921,-.3263276585522974,-3.771786419502735,-4.098114078055032,-.5411602699343144,-.5411602699343144,0,.0710846606325364,-3.284783803722622,-3.213699143090085,-.0270287201465689
Jeff Green,greenje02,2023,RS,DEN,666,319,-2.683961965686153,-1.622982221253274,-4.306944186939426,-5.655595338786097,-1.241462781109241,-6.897058119895338,-3.490154782507274,-1.62371127915261,-5.113866061659884,-.3835283074665025,-.3835283074665025,0,-3.908528367723238,-3.226300535103183,-7.13482890282642,-.3158421462833936
Josh Green,greenjo02,2023,RS,DAL,899,433,-.607370799287996,3.35039925854447,2.743028459256474,-1.633952639192705,7.798218766397769,6.164266127205064,-.8579997598476606,4.459743153888635,3.601743394040974,1.413239065587093,1.413239065587093,0,-1.011197251818432,4.619318266838041,3.608121015019609,.7241342266390888
AJ Griffin,griffaj01,2023,RS,ATL,761,356,.9814797868609293,.0969454412998406,1.07842522816077,-2.704852421407518,-1.104013618823248,-3.808866040230766,.2769778790450777,-.1583072357950743,.1186706432500034,.5204052189571657,.5204052189571657,0,.8232091005223922,-.2114557660323758,.6117533344900163,-.1233964701264038
Blake Griffin,griffbl01,2023,RS,BOS,209,100,-2.946092460341187,.943562243432212,-2.002530216908975,5.442329935930079,-6.478731380386984,-1.036401444456905,-1.482022036990194,-.5331615634553408,-2.015183600445535,.0372719583416624,.0372719583416624,0,-3.786164895554428,-.5592244739437897,-4.345389369498218,-.5898883256474932
Quentin Grimes,grimequ01,2023,RS,NYK,625,295,-2.647603308951247,-.057996433549033,-2.70559974250028,-.5301276711709557,4.105021123603003,3.574893452432048,-2.397479310089452,.8127429869122457,-1.584736323177207,.1760984262205837,.1760984262205837,0,-2.376543847561218,.8949014249211693,-1.481642422640049,.4133000419687669
Rui Hachimura,hachiru01,2023,RS,WAS,790,376,-2.706576676663002,-.7346481783447363,-3.441224855007738,-8.831275631009264,.2585006505795331,-8.572774980429731,-4.149899878037392,-.5470183879285467,-4.696918265965938,-.3707905233262552,-.3707905233262552,0,-3.95944999597407,-2.153837550109532,-6.113287546083603,-.731276063198265
